,feature_id,,,,,,function,,,,,
,fig|6666666.25437.rna.1,,,,,,tRNA-Val-TAC,,,,,
,fig|6666666.25437.rna.2,,,,,,tRNA-Asp-GTC,,,,,
,fig|6666666.25437.rna.3,,,,,,tRNA-Phe-GAA,,,,,
,fig|6666666.25437.rna.4,,,,,,tRNA-Tyr-GTA,,,,,
,fig|6666666.25437.rna.5,,,,,,tRNA-Trp-CCA,,,,,
,fig|6666666.25437.rna.6,,,,,,tRNA-His-GTG,,,,,
,fig|6666666.25437.rna.7,,,,,,tRNA-Cys-GCA,,,,,
,fig|6666666.25437.rna.8,,,,,,tRNA-Leu-CAA,,,,,
,fig|6666666.25437.peg.1,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.2,,,,,,Cytosine/purine/uracil/thiamine/allantoin permease family protein,,,,,
,fig|6666666.25437.peg.3,,,,,,Cytosine deaminase (EC 3.5.4.1),,,,,
,fig|6666666.25437.peg.4,,,,,,Alcohol dehydrogenase (EC 1.1.1.1),,,,,
,fig|6666666.25437.peg.5,,,,,,Uracil permease,,,,,
,fig|6666666.25437.peg.6,,,,,,Amino acid ABC transporter substrate binding protein,,,,,
,fig|6666666.25437.peg.7,,,,,,amino acid ABC transporter permease protein,,,,,
,fig|6666666.25437.peg.8,,,,,,Cell division transporter ATP-binding protein FtsE (TC 3.A.5.1.1),,,,,
,fig|6666666.25437.peg.9,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.10,,,,,,S-adenosylmethionine synthetase (EC 2.5.1.6),,,,,
,fig|6666666.25437.peg.11,,,,,,Permeases of the major facilitator superfamily,,,,,
,fig|6666666.25437.peg.12,,,,,,SAM-dependent methyltransferase MraW methylase family (EC 2.1.1.-),,,,,
,fig|6666666.25437.peg.13,,,,,,Leucyl-tRNA synthetase (EC 6.1.1.4),,,,,
,fig|6666666.25437.peg.14,,,,,,Membrane protein involved in the export of O-antigen teichoic acid lipoteichoic acids,,,,,
,fig|6666666.25437.peg.15,,,,,,NAD(P)HX dehydratase,,,,,
,fig|6666666.25437.peg.16,,,,,,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases,,,,,
,fig|6666666.25437.peg.17,,,,,,Deoxyadenosine kinase (EC 2.7.1.76) / Deoxyguanosine kinase (EC 2.7.1.113),,,,,
,fig|6666666.25437.peg.18,,,,,,Membrane-bound protease CAAX family,,,,,
,fig|6666666.25437.peg.19,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.20,,,,,,Low temperature requirement C protein,,,,,
,fig|6666666.25437.peg.21,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.22,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.23,,,,,,Glycosyl Transferase Family 8,,,,,
,fig|6666666.25437.rna.9,,,,,,tRNA-Leu-CAG,,,,,
,fig|6666666.25437.peg.24,,,,,,Organic hydroperoxide resistance transcriptional regulator,,,,,
,fig|6666666.25437.peg.25,,,,,,UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase (EC 6.3.2.7),,,,,
,fig|6666666.25437.peg.26,,,,,,probably carbamoylphosphate synthase large subunit evidenced by COGnitor,,,,,
,fig|6666666.25437.peg.27,,,,,,Aspartate racemase (EC 5.1.1.13),,,,,
,fig|6666666.25437.peg.28,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.rna.10,,,,,,tRNA-Gly-CCC,,,,,
,fig|6666666.25437.peg.29,,,,,,Arginyl-tRNA synthetase (EC 6.1.1.19),,,,,
,fig|6666666.25437.peg.30,,,,,,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),,,,,
,fig|6666666.25437.peg.31,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.32,,,,,,DNA repair exonuclease family protein YhaO,,,,,
,fig|6666666.25437.peg.33,,,,,,DNA double-strand break repair Rad50 ATPase # truncated by transposition event,,,,,
,fig|6666666.25437.peg.34,,,,,,3'->5' exoribonuclease Bsu YhaM,,,,,
,fig|6666666.25437.peg.35,,,,,,Foldase protein PrsA precursor (EC 5.2.1.8) @ Foldase clustered with pyrimidine conversion,,,,,
,fig|6666666.25437.peg.36,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.37,,,,,,Histidine triad (HIT) nucleotide-binding protein similarity with At5g48545 and yeast YDL125C (HNT1),,,,,
,fig|6666666.25437.peg.38,,,,,,ABC transporter ATP-binding protein EcsA,,,,,
,fig|6666666.25437.peg.39,,,,,,ABC transporter permease protein EscB,,,,,
,fig|6666666.25437.peg.40,,,,,,tRNA (guanine46-N7-)-methyltransferase (EC 2.1.1.33),,,,,
,fig|6666666.25437.peg.41,,,,,,hypothetical protein,,,,,
,fig|6666666.25437.peg.42,,,,,,FIG009688: Thioredoxin,,,,,
,fig|6666666.25437.peg.43,,,,,,Phenylalanyl-tRNA synthetase domain protein (Bsu YtpR),,,,,
,fig|6666666.25437.peg.44,,,,,,Cell division protein FtsK,,,,,
,fig|6666666.25437.peg.45,,,,,,UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8),,,,,
,fig|6666666.25437.peg.46,,,,,,Integral membrane protein interacts with FtsH,,,,,
,fig|6666666.25437.peg.47,,,,,,DNA polymerase I (EC 2.7.7.7),,,,,
,fig|6666666.25437.peg.48,,,,,,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),,,,,
,fig|6666666.25437.peg.49,,,,,,Dephospho-CoA kinase (EC 2.7.1.24),,,,,
,fig|6666666.25437.peg.50,,,,,,Ribonucleotide reductase transcriptional regulator NrdR,,,,,
,fig|6666666.25437.peg.51,,,,,,Helicase loader DnaB,,,,,
,fig|6666666.25437.peg.52,,,,,,Helicase loader DnaI,,,,,
,fig|6666666.25437.peg.53,,,,,,Threonyl-tRNA synthetase (EC 6.1.1.3),,,,,
,fig|6666666.25437.peg.54,,,,,,Translation initiation factor 3,,,,,
,fig|6666666.25437.peg.55,,,,,,LSU ribosomal protein L35p,,,,,
,fig|6666666.25437.peg.56,,,,,,LSU ribosomal protein L20p,,,,,
